Date,Open,High,Low,Close,Adj Close,Volume,Gain/Loss
1987-10-19,282.700012,282.700012,224.830002,224.839996,224.839996,604300000,57.860016
1987-10-26,248.199997,248.220001,227.259995,227.669998,227.669998,308800000,20.529999000000004
1989-10-13,355.390015,355.529999,332.809998,333.649994,333.649994,251170000,21.740021000000013
1996-03-08,653.650024,653.650024,627.630005,633.5,633.5,546550000,20.15002400000003
1997-04-11,758.340027,758.340027,737.640015,737.650024,737.650024,444380000,20.690002999999933
1997-06-23,898.700012,898.700012,878.429993,878.619995,878.619995,492940000,20.080016999999998
1997-08-15,924.77002,924.77002,900.809998,900.809998,900.809998,537820000,23.960022000000095
1997-10-27,941.640015,941.640015,876.72998,876.98999,876.98999,693730000,64.65002499999991
1998-01-09,956.049988,956.049988,921.719971,927.690002,927.690002,746420000,28.359985999999935
1998-04-27,1107.900024,1107.900024,1076.699951,1086.540039,1086.540039,685960000,21.35998500000005
1998-06-15,1098.839966,1098.839966,1077.01001,1077.01001,1077.01001,595820000,21.82995600000004
1998-07-23,1164.079956,1164.349976,1139.75,1139.75,1139.75,741600000,24.32995600000004
1998-07-31,1142.949951,1142.969971,1114.300049,1120.670044,1120.670044,645910000,22.279907000000094
1998-08-04,1112.439941,1119.72998,1071.819946,1072.119995,1072.119995,852600000,40.31994600000007
1998-08-27,1084.189941,1084.189941,1037.609985,1042.589966,1042.589966,938600000,41.599975000000086
1998-08-31,1027.140015,1033.469971,957.280029,957.280029,957.280029,917500000,69.85998599999994
1998-09-10,1006.200012,1006.200012,968.640015,980.190002,980.190002,880300000,26.010009999999966
1998-09-17,1045.47998,1045.47998,1016.049988,1018.869995,1018.869995,694500000,26.60998500000005
1998-09-24,1066.089966,1066.109985,1033.040039,1042.719971,1042.719971,805900000,23.369995000000017
1998-09-30,1049.02002,1049.02002,1015.72998,1017.01001,1017.01001,800100000,32.010009999999966
1998-10-01,1017.01001,1017.01001,981.289978,986.390015,986.390015,899700000,30.619995000000017
1998-11-30,1192.329956,1192.719971,1163.630005,1163.630005,1163.630005,687900000,28.699951000000056
1998-12-03,1171.25,1176.98999,1149.609985,1150.140015,1150.140015,799100000,21.10998500000005
1998-12-14,1166.459961,1166.459961,1136.890015,1141.199951,1141.199951,741800000,25.260009999999966
1999-01-12,1263.880005,1264.449951,1238.290039,1239.51001,1239.51001,800200000,24.369995000000017
1999-01-14,1234.400024,1236.810059,1209.540039,1212.189941,1212.189941,797200000,22.21008299999994
1999-01-21,1256.619995,1256.939941,1232.189941,1235.160034,1235.160034,871800000,21.45996100000002
1999-02-04,1272.069946,1272.22998,1248.359985,1248.48999,1248.48999,854400000,23.57995600000004
1999-02-09,1243.77002,1243.969971,1215.630005,1216.140015,1216.140015,736000000,27.630004999999983
1999-02-12,1254.040039,1254.040039,1225.530029,1230.130005,1230.130005,691500000,23.910033999999996
1999-03-23,1297.01001,1297.01001,1257.459961,1262.140015,1262.140015,811300000,34.86999500000002
1999-04-14,1349.819946,1357.23999,1326.410034,1328.439941,1328.439941,952000000,21.380004999999983
1999-04-19,1319.0,1340.099976,1284.47998,1289.47998,1289.47998,1214400000,29.52001999999993
1999-05-04,1354.630005,1354.640015,1330.640015,1332.0,1332.0,933100000,22.630004999999983
1999-05-14,1367.560059,1367.560059,1332.630005,1337.800049,1337.800049,727800000,29.760009999999966
1999-05-24,1330.290039,1333.02002,1303.530029,1306.650024,1306.650024,754700000,23.64001499999995
1999-05-25,1306.650024,1317.52002,1284.380005,1284.400024,1284.400024,826700000,22.25
1999-05-27,1304.76001,1304.76001,1277.310059,1281.410034,1281.410034,811400000,23.34997599999997
