Date,Gain
2018-01-26,-25.390136999999868
2018-01-22,-23.81005899999991
2018-01-17,-17.570068999999876
2018-01-12,-16.060058000000026
2018-01-03,-15.209961000000021
2018-01-11,-14.590087999999923
2018-01-02,-12.080078999999841
2018-01-05,-11.819824000000153
2018-01-19,-7.6999510000000555
2018-01-08,-5.040038999999979
2018-01-04,-4.679931000000124
2018-01-23,-4.079834000000119
2018-01-10,-2.679931000000124
2018-01-09,-0.14013699999986784
2018-01-18,4.369873000000098
2018-01-25,6.989990000000034
2018-01-24,7.8798830000000635
2018-01-31,8.599853000000167
2018-01-30,10.310058000000026
2018-01-29,13.699951000000056
2018-01-16,22.54003899999998
